time,callsign,latitude,longitude,tas,heading,altitude
2016-08-15 17:00:27,A5,37.61956,-122.38003,15,142,0.06
2016-08-15 17:00:28,A5,37.61952,-122.37996,16,142,0.06
2016-08-15 17:00:29,A5,37.61948,-122.37988,16,139,0.06
2016-08-15 17:00:30,A5,37.61943,-122.37981,15,149,0.06
2016-08-15 17:00:31,A5,37.61939,-122.37975,15,147,0.06
2016-08-15 17:00:32,A5,37.61935,-122.3797,14,152,0.06
2016-08-15 17:00:33,A5,37.61931,-122.37963,14,142,0.06
2016-08-15 17:00:34,A5,37.61926,-122.37958,14,158,0.06
2016-08-15 17:00:35,A5,37.61921,-122.37954,14,164,0.06
2016-08-15 17:00:36,A5,37.61917,-122.37948,14,147,0.06
2016-08-15 17:00:37,A5,37.61912,-122.37943,14,158,0.06
2016-08-15 17:00:38,A5,37.61908,-122.37937,14,147,0.06
2016-08-15 17:00:39,A5,37.61903,-122.37931,15,153,0.06
2016-08-15 17:00:41,A5,37.61892,-122.37921,15,161,0.06
2016-08-15 17:00:42,A5,37.61886,-122.37917,15,169,0.06
2016-08-15 17:00:43,A5,37.61881,-122.37913,16,164,0.06
2016-08-15 17:00:44,A5,37.61874,-122.3791,15,178,0.06
2016-08-15 17:00:45,A5,37.61867,-122.37906,16,172,0.06
2016-08-15 17:00:46,A5,37.61862,-122.37902,16,164,0.06
2016-08-15 17:00:47,A5,37.61856,-122.37896,15,158,0.06
2016-08-15 17:00:49,A5,37.61844,-122.37888999999998,14,172,0.06
2016-08-15 17:00:50,A5,37.61839000000001,-122.37885,15,164,0.06
2016-08-15 17:00:51,A5,37.61834,-122.37881000000002,14,164,0.06
2016-08-15 17:00:52,A5,37.61827,-122.37878,15,178,0.06
2016-08-15 17:00:53,A5,37.61821,-122.37875,15,175,0.06
2016-08-15 17:00:54,A5,37.61812000000001,-122.37876,14,202,0.06
2016-08-15 17:00:55,A5,37.61807,-122.37873,14,171,0.06
2016-08-15 17:00:56,A5,37.61802,-122.37872,13,188,0.06
2016-08-15 17:00:57,A5,37.61796,-122.3787,12,182,0.06
2016-08-15 17:00:58,A5,37.61791,-122.37869,12,188,0.13
2016-08-15 17:01:00,A5,37.61781,-122.37868,12,192,0.13
2016-08-15 17:01:01,A5,37.61774000000001,-122.37869,11,203,0.13
