u,v,w,p,q,r,p_dot,q_dot,r_dot,lat,lon,alt,aileron,elevator,rudder
411.79,-0.15461,91.619,-0.02114,-0.020818,0.0028594,-1.36E-18,2.52E-16,-2.59E-18,37.826,-101.2,40000,0.1267,-2.1845,-0.18883
411.79,-0.15474,91.619,-0.02114,-0.020818,0.0028594,2.92E-07,-2.08E-08,-1.19E-07,37.826,-101.2,40000,0.1267,-2.1845,-0.18883
411.79,-0.15513,91.619,-0.02114,-0.020818,0.0028594,1.17E-06,-8.28E-08,-4.74E-07,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15578,91.619,-0.02114,-0.020818,0.0028594,2.62E-06,-1.85E-07,-1.07E-06,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15668,91.62,-0.02114,-0.020818,0.0028594,4.65E-06,-3.28E-07,-1.89E-06,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15785,91.62,-0.021139,-0.020818,0.0028593,7.26E-06,-5.09E-07,-2.95E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.79,-0.15928,91.62,-0.021139,-0.020818,0.0028593,1.04E-05,-7.30E-07,-4.24E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.8,-0.16096,91.621,-0.021139,-0.020818,0.0028592,1.42E-05,-9.88E-07,-5.76E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.8,-0.1629,91.621,-0.021139,-0.020818,0.002859,1.85E-05,-1.28E-06,-7.51E-06,37.826,-101.2,39997,0.1267,-2.1845,-0.18883
411.8,-0.1651,91.622,-0.021138,-0.020818,0.0028589,2.34E-05,-1.62E-06,-9.49E-06,37.826,-101.2,39997,0.1267,-2.1845,-0.18883
411.8,-0.16755,91.622,-0.021138,-0.020818,0.0028586,2.88E-05,-1.98E-06,-1.17E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17026,91.623,-0.021137,-0.020818,0.0028584,3.48E-05,-2.39E-06,-1.41E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17322,91.624,-0.021136,-0.020818,0.0028581,4.13E-05,-2.83E-06,-1.68E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17644,91.625,-0.021135,-0.020818,0.0028577,4.84E-05,-3.30E-06,-1.97E-05,37.826,-101.2,39995,0.1267,-2.1845,-0.18883
411.82,-0.17991,91.626,-0.021134,-0.020818,0.0028573,5.60E-05,-3.80E-06,-2.28E-05,37.826,-101.2,39995,0.1267,-2.1845,-0.18883
411.82,-0.18363,91.627,-0.021133,-0.020818,0.0028568,6.41E-05,-4.34E-06,-2.61E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.82,-0.18761,91.628,-0.021132,-0.020818,0.0028562,7.28E-05,-4.91E-06,-2.96E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.83,-0.19183,91.629,-0.02113,-0.020818,0.0028556,8.20E-05,-5.56E-06,-3.34E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.83,-0.1963,91.63,-0.021129,-0.020818,0.0028549,9.17E-05,-6.33E-06,-3.73E-05,37.826,-101.2,39993,0.1267,-2.1845,-0.18883
411.84,-0.20102,91.631,-0.021127,-0.020818,0.0028541,0.00010197,-7.23E-06,-4.15E-05,37.826,-101.2,39993,0.1267,-2.1845,-0.18883
411.84,-0.20598,91.632,-0.021124,-0.020819,0.0028532,0.00011273,-8.25E-06,-4.59E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.85,-0.21119,91.633,-0.021122,-0.020819,0.0028523,0.000124,-9.39E-06,-5.05E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.85,-0.21664,91.635,-0.02112,-0.020819,0.0028512,0.00013577,-1.07E-05,-5.53E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.86,-0.22233,91.636,-0.021117,-0.020819,0.0028501,0.00014804,-1.20E-05,-6.03E-05,37.826,-101.2,39991,0.1267,-2.1845,-0.18883
411.87,-0.22827,91.638,-0.021114,-0.020819,0.0028488,0.0001608,-1.35E-05,-6.55E-05,37.826,-101.2,39991,0.1267,-2.1845,-0.18883
411.87,-0.23444,91.639,-0.02111,-0.02082,0.0028475,0.00017405,-1.52E-05,-7.09E-05,37.826,-101.2,39990,0.1267,-2.1845,-0.18883
411.87,-0.23444,91.639,-0.00036844,-0.00036337,4.97E-05,-0.0010738,-0.0020834,0.00085463,37.826,-101.2,39990,0.1267,-2.3779,-0.18883
411.84,-0.18002,91.801,-0.00039108,-0.00040551,6.73E-05,-0.0011892,-0.0021298,0.00090178,37.826,-101.2,39990,0.1267,-2.3779,-0.18883
411.81,-0.12584,91.961,-0.000416,-0.00044856,8.58E-05,-0.0013024,-0.0021755,0.00094857,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.78,-0.071922,92.121,-0.00044316,-0.00049252,0.0001052,-0.0014133,-0.0022206,0.00099499,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.75,-0.018282,92.279,-0.00047252,-0.00053738,0.00012556,-0.001522,-0.0022651,0.001041,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.72,0.035073,92.436,-0.00050403,-0.00058315,0.00014684,-0.0016285,-0.0023134,0.0010867,37.826,-101.2,39988,0.1267,-2.3779,-0.18883
411.69,0.08813,92.592,-0.00053764,-0.00062992,0.00016903,-0.0017327,-0.0023634,0.001132,37.826,-101.2,39988,0.1267,-2.3779,-0.18883
411.66,0.14088,92.747,-0.00057332,-0.00067768,0.00019212,-0.0018347,-0.0024127,0.0011769,37.826,-101.2,39987,0.1267,-2.3779,-0.18883
411.64,0.19331,92.901,-0.00061101,-0.00072643,0.0002161,-0.0019344,-0.0024614,0.0012213,37.826,-101.2,39987,0.1267,-2.3779,-0.18883
411.61,0.2454,93.054,-0.00065068,-0.00077613,0.00024097,-0.0020318,-0.0025094,0.0012654,37.826,-101.2,39986,0.1267,-2.3779,-0.18883
411.58,0.29715,93.205,-0.00069227,-0.0008268,0.00026671,-0.002127,-0.0025567,0.001309,37.826,-101.2,39986,0.1267,-2.3779,-0.18883
411.55,0.34855,93.356,-0.00073574,-0.0008784,0.00029333,-0.0022199,-0.0026033,0.0013522,37.826,-101.2,39985,0.1267,-2.3779,-0.18883
411.52,0.39959,93.505,-0.00078105,-0.00093092,0.0003208,-0.0023106,-0.0026493,0.001395,37.826,-101.2,39985,0.1267,-2.3779,-0.18883
411.49,0.45024,93.653,-0.00082815,-0.00098436,0.00034913,-0.002399,-0.0026946,0.0014373,37.826,-101.2,39984,0.1267,-2.3779,-0.18883
411.46,0.50052,93.8,-0.000877,-0.0010387,0.00037829,-0.0024852,-0.0027392,0.0014792,37.826,-101.2,39984,0.1267,-2.3779,-0.18883
411.43,0.55039,93.946,-0.00092755,-0.0010939,0.00040829,-0.0025691,-0.0027832,0.0015206,37.826,-101.2,39983,0.1267,-2.3779,-0.18883
411.4,0.59986,94.091,-0.00097975,-0.00115,0.00043911,-0.0026508,-0.0028265,0.0015616,37.826,-101.2,39983,0.1267,-2.3779,-0.18883
411.37,0.64891,94.234,-0.0010336,-0.001207,0.00047075,-0.0027302,-0.0028692,0.001602,37.826,-101.2,39983,0.1267,-2.3779,-0.18883
411.34,0.69754,94.377,-0.0010889,-0.0012648,0.00050319,-0.0028074,-0.0029114,0.001642,37.826,-101.2,39982,0.1267,-2.3779,-0.18883
411.31,0.74572,94.518,-0.0011458,-0.0013234,0.00053643,-0.0028823,-0.0029529,0.0016815,37.826,-101.2,39982,0.1267,-2.3779,-0.18883
411.29,0.79346,94.658,-0.0012042,-0.0013829,0.00057045,-0.002955,-0.0029939,0.0017205,37.826,-101.2,39981,0.1267,-2.3779,-0.18883
411.26,0.84075,94.797,-0.001264,-0.0014432,0.00060524,-0.0030255,-0.0030343,0.001759,37.826,-101.2,39981,0.1267,-2.3779,-0.18883
411.23,0.88757,94.935,-0.0013252,-0.0015043,0.0006408,-0.0030937,-0.0030742,0.001797,37.826,-101.2,39980,0.1267,-2.3779,-0.18883
411.2,0.93391,95.071,-0.0013877,-0.0015685,0.0006771,-0.003157,-0.0033517,0.0018326,37.826,-101.2,39980,0.1267,-2.3779,-0.18883
411.17,0.97977,95.207,-0.0014515,-0.0016384,0.0007141,-0.0032178,-0.0036343,0.0018674,37.826,-101.2,39979,0.1267,-2.3779,-0.18883
411.14,1.0251,95.341,-0.0015164,-0.0017138,0.00075179,-0.0032761,-0.0039133,0.0019015,37.826,-101.2,39978,0.1267,-2.3779,-0.18883
411.14,1.0251,95.341,-2.65E-05,-2.99E-05,1.31E-05,-0.0036308,-0.0016682,0.0020092,37.826,-101.2,39978,0.1267,-2.6146,-0.18883
411.11,1.0789,95.489,-9.98E-05,-6.64E-05,5.37E-05,-0.0037027,-0.0019849,0.00205,37.826,-101.2,39978,0.1267,-2.6146,-0.18883
411.08,1.1321,95.635,-0.00017456,-0.00010928,9.51E-05,-0.0037718,-0.0022981,0.00209,37.826,-101.2,39977,0.1267,-2.6146,-0.18883
411.05,1.1847,95.78,-0.00025066,-0.00015835,0.00013731,-0.0038379,-0.0026078,0.0021292,37.826,-101.2,39977,0.1267,-2.6146,-0.18883
411.02,1.2368,95.925,-0.00032806,-0.00021357,0.00018028,-0.0039012,-0.0029138,0.0021676,37.826,-101.2,39976,0.1267,-2.6146,-0.18883
410.99,1.2884,96.068,-0.00040669,-0.00027488,0.00022401,-0.0039617,-0.0032161,0.0022053,37.826,-101.2,39976,0.1267,-2.6146,-0.18883
410.96,1.3394,96.21,-0.00048651,-0.00034219,0.00026848,-0.0040194,-0.0035146,0.0022422,37.826,-101.2,39975,0.1267,-2.6146,-0.18883
410.93,1.3898,96.352,-0.00056745,-0.00041544,0.00031369,-0.0040743,-0.0038092,0.0022783,37.826,-101.2,39975,0.1267,-2.6146,-0.18883
410.9,1.4396,96.492,-0.00064946,-0.00049453,0.00035961,-0.0041264,-0.0040999,0.0023136,37.826,-101.2,39974,0.1267,-2.6146,-0.18883
410.87,1.4888,96.63,-0.00073248,-0.0005794,0.00040623,-0.0041759,-0.0043865,0.0023481,37.826,-101.2,39974,0.1267,-2.6146,-0.18883
410.84,1.5374,96.768,-0.00081647,-0.00066997,0.00045353,-0.0042227,-0.004669,0.0023819,37.826,-101.2,39973,0.1267,-2.6146,-0.18883
410.81,1.5854,96.904,-0.00090137,-0.00076614,0.0005015,-0.0042668,-0.0049473,0.0024149,37.826,-101.2,39973,0.1267,-2.6146,-0.18883
410.78,1.6328,97.039,-0.00098713,-0.00086783,0.00055012,-0.0043084,-0.0052213,0.0024471,37.826,-101.2,39972,0.1267,-2.6146,-0.18883
410.75,1.6796,97.172,-0.0010737,-0.00097496,0.00059938,-0.0043474,-0.005491,0.0024785,37.826,-101.2,39972,0.1267,-2.6146,-0.18883
410.72,1.7257,97.304,-0.001161,-0.0010874,0.00064926,-0.004384,-0.0057562,0.0025092,37.826,-101.2,39971,0.1267,-2.6146,-0.18883
410.69,1.7712,97.435,-0.001249,-0.0012052,0.00069974,-0.004418,-0.0060171,0.0025391,37.826,-101.2,39970,0.1267,-2.6146,-0.18883
410.66,1.8161,97.564,-0.0013377,-0.0013281,0.00075082,-0.0044497,-0.0062734,0.0025683,37.826,-101.2,39970,0.1267,-2.6146,-0.18883
410.63,1.8603,97.691,-0.001427,-0.0014561,0.00080247,-0.004479,-0.0065251,0.0025966,37.826,-101.2,39969,0.1267,-2.6146,-0.18883
410.6,1.9038,97.817,-0.0015169,-0.0015891,0.00085468,-0.0045059,-0.0067723,0.0026242,37.826,-101.2,39969,0.1267,-2.6146,-0.18883
410.57,1.9467,97.942,-0.0016072,-0.0017269,0.00090743,-0.0045306,-0.0070149,0.0026511,37.826,-101.2,39968,0.1267,-2.6146,-0.18883
410.54,1.9888,98.064,-0.0016981,-0.0018696,0.00096071,-0.004553,-0.0072529,0.0026772,37.826,-101.2,39968,0.1267,-2.6146,-0.18883
410.52,2.0304,98.186,-0.0017893,-0.002017,0.0010145,-0.0045732,-0.0074862,0.0027026,37.826,-101.2,39967,0.1267,-2.6146,-0.18883
410.49,2.0712,98.305,-0.001881,-0.002169,0.0010688,-0.0045913,-0.0077147,0.0027272,37.826,-101.2,39966,0.1267,-2.6146,-0.18883
410.46,2.1113,98.423,-0.001973,-0.0023256,0.0011236,-0.0046073,-0.0079384,0.002751,37.826,-101.2,39966,0.1267,-2.6146,-0.18883
410.44,2.1508,98.539,-0.0020653,-0.0024866,0.0011788,-0.0046212,-0.0081573,0.0027742,37.826,-101.2,39965,0.1267,-2.6146,-0.18883
410.41,2.1895,98.653,-0.0021578,-0.0026518,0.0012346,-0.0046331,-0.0083714,0.0027966,37.826,-101.2,39965,0.1267,-2.6146,-0.18883
410.41,2.1895,98.653,-3.77E-05,-4.63E-05,2.15E-05,-0.0052499,-0.0059395,0.002961,37.826,-101.2,39965,0.1267,-2.8902,-0.18883
410.38,2.2416,98.787,-0.00014295,-0.00016777,8.11E-05,-0.0052785,-0.0062079,0.0029936,37.826,-101.2,39964,0.1267,-2.8902,-0.18883
410.35,2.2929,98.92,-0.00024878,-0.00029457,0.00014129,-0.0053043,-0.0064716,0.0030254,37.826,-101.2,39964,0.1267,-2.8902,-0.18883
410.32,2.3435,99.051,-0.00035511,-0.0004266,0.00020211,-0.0053276,-0.0067306,0.0030563,37.826,-101.2,39963,0.1267,-2.8902,-0.18883
410.29,2.3933,99.18,-0.00046187,-0.00056376,0.00026353,-0.0053482,-0.0069847,0.0030863,37.826,-101.2,39962,0.1267,-2.8902,-0.18883
410.26,2.4424,99.307,-0.00056902,-0.00070595,0.00032555,-0.0053664,-0.007234,0.0031155,37.826,-101.2,39962,0.1267,-2.8902,-0.18883
410.23,2.4907,99.433,-0.00067651,-0.00085308,0.00038815,-0.005382,-0.0074783,0.0031439,37.826,-101.2,39961,0.1267,-2.8902,-0.18883
410.2,2.5382,99.557,-0.00078428,-0.0010051,0.0004513,-0.0053953,-0.0077177,0.0031715,37.826,-101.2,39961,0.1267,-2.8902,-0.18883
410.17,2.5849,99.68,-0.0008923,-0.0011618,0.000515,-0.0054062,-0.007952,0.0031982,37.826,-101.2,39960,0.1267,-2.8902,-0.18883
410.14,2.6308,99.801,-0.0010005,-0.0013231,0.00057923,-0.0054148,-0.0081813,0.003224,37.826,-101.2,39959,0.1267,-2.8902,-0.18883
410.11,2.6759,99.92,-0.0011089,-0.001489,0.00064396,-0.0054212,-0.0084055,0.0032491,37.826,-101.2,39959,0.1267,-2.8902,-0.18883
410.08,2.7202,100.04,-0.0012174,-0.0016593,0.00070918,-0.0054255,-0.0086245,0.0032734,37.826,-101.2,39958,0.1267,-2.8902,-0.18883
410.05,2.7637,100.15,-0.0013259,-0.0018339,0.00077489,-0.0054276,-0.0088384,0.0032968,37.826,-101.2,39957,0.1267,-2.8902,-0.18883
410.03,2.8064,100.27,-0.0014344,-0.0020128,0.00084105,-0.0054276,-0.009047,0.0033194,37.826,-101.2,39957,0.1267,-2.8902,-0.18883
410,2.8482,100.38,-0.001543,-0.0021958,0.00090766,-0.0054257,-0.0092505,0.0033413,37.826,-101.2,39956,0.1267,-2.8902,-0.18883
409.97,2.8893,100.49,-0.0016515,-0.0023828,0.0009747,-0.0054218,-0.0094486,0.0033623,37.826,-101.2,39956,0.1267,-2.8902,-0.18883
409.95,2.9295,100.6,-0.0017598,-0.0025737,0.0010421,-0.0054161,-0.0096415,0.0033826,37.826,-101.2,39955,0.1267,-2.8902,-0.18883
409.92,2.9689,100.7,-0.0018681,-0.0027684,0.00111,-0.0054085,-0.009829,0.003402,37.826,-101.2,39954,0.1267,-2.8902,-0.18883
409.89,3.0074,100.81,-0.0019762,-0.0029668,0.0011782,-0.0053992,-0.010011,0.0034207,37.826,-101.2,39954,0.1267,-2.8902,-0.18883
409.87,3.0451,100.91,-0.002084,-0.0031688,0.0012468,-0.0053882,-0.010188,0.0034387,37.826,-101.2,39953,0.1267,-2.8902,-0.18883
409.84,3.082,101.01,-0.0021917,-0.0033743,0.0013158,-0.0053756,-0.01036,0.0034558,37.826,-101.2,39952,0.1267,-2.8902,-0.18883
409.82,3.118,101.11,-0.0022991,-0.0035832,0.001385,-0.0053613,-0.010527,0.0034722,37.826,-101.2,39952,0.1267,-2.8902,-0.18883
409.8,3.1532,101.2,-0.0024061,-0.0037953,0.0014546,-0.0053456,-0.010688,0.0034879,37.826,-101.2,39951,0.1267,-2.8902,-0.18883
409.77,3.1875,101.29,-0.0025129,-0.0040107,0.0015246,-0.0053283,-0.010844,0.0035028,37.826,-101.2,39950,0.1267,-2.8902,-0.18883
409.75,3.221,101.39,-0.0026193,-0.004229,0.0015948,-0.0053097,-0.010994,0.003517,37.826,-101.2,39950,0.1267,-2.8902,-0.18883
409.73,3.2536,101.48,-0.0027252,-0.0044504,0.0016652,-0.0052897,-0.011139,0.0035304,37.826,-101.2,39949,0.1267,-2.8902,-0.18883
409.73,3.2536,101.48,-4.76E-05,-7.77E-05,2.91E-05,-0.00616,-0.0087798,0.0037434,37.826,-101.2,39949,0.1267,-3.2014,-0.18883
409.7,3.3041,101.6,-0.0001707,-0.00025558,0.00010419,-0.0061531,-0.0090098,0.0037695,37.826,-101.2,39948,0.1267,-3.2014,-0.18883
409.67,3.3537,101.72,-0.00029368,-0.00043803,0.00017984,-0.006144,-0.0092344,0.0037947,37.826,-101.2,39948,0.1267,-3.2014,-0.18883
409.64,3.4023,101.84,-0.00041644,-0.00062492,0.00025598,-0.0061326,-0.0094535,0.003819,37.826,-101.2,39947,0.1267,-3.2014,-0.18883
409.61,3.4501,101.96,-0.00053897,-0.00081613,0.00033259,-0.0061192,-0.009667,0.0038424,37.826,-101.2,39947,0.1267,-3.2014,-0.18883
409.58,3.4969,102.07,-0.0006612,-0.0010116,0.00040967,-0.0061037,-0.009875,0.003865,37.826,-101.2,39946,0.1267,-3.2014,-0.18883
409.55,3.5427,102.18,-0.00078316,-0.0012116,0.00048717,-0.0060954,-0.010152,0.0038843,37.826,-101.2,39945,0.1267,-3.2014,-0.18883
409.52,3.5877,102.29,-0.00090503,-0.0014178,0.00056503,-0.0060913,-0.010472,0.0039011,37.826,-101.2,39944,0.1267,-3.2014,-0.18883
409.49,3.6317,102.4,-0.0010268,-0.0016304,0.00064321,-0.0060855,-0.010784,0.0039169,37.826,-101.2,39944,0.1267,-3.2014,-0.18883
409.46,3.6747,102.51,-0.0011484,-0.0018491,0.0007217,-0.0060781,-0.011087,0.0039319,37.826,-101.2,39943,0.1267,-3.2014,-0.18883
409.44,3.7168,102.62,-0.0012699,-0.0020738,0.00080048,-0.006069,-0.011381,0.0039461,37.826,-101.2,39942,0.1267,-3.2014,-0.18883
409.41,3.758,102.72,-0.0013912,-0.0023043,0.00087954,-0.0060584,-0.011668,0.0039594,37.826,-101.2,39942,0.1267,-3.2014,-0.18883
409.38,3.7982,102.82,-0.0015122,-0.0025405,0.00095885,-0.0060463,-0.011945,0.0039719,37.826,-101.2,39941,0.1267,-3.2014,-0.18883
409.36,3.8375,102.92,-0.001633,-0.0027821,0.0010384,-0.0060327,-0.012214,0.0039835,37.826,-101.2,39940,0.1267,-3.2014,-0.18883
409.33,3.8758,103.01,-0.0017535,-0.003029,0.0011182,-0.0060177,-0.012474,0.0039944,37.826,-101.2,39940,0.1267,-3.2014,-0.18883
409.31,3.9131,103.11,-0.0018737,-0.003281,0.0011982,-0.0060014,-0.012725,0.0040045,37.826,-101.2,39939,0.1267,-3.2014,-0.18883
409.28,3.9495,103.2,-0.0019936,-0.0035379,0.0012784,-0.0059837,-0.012967,0.0040139,37.826,-101.2,39938,0.1267,-3.2014,-0.18883
409.26,3.9849,103.29,-0.0021131,-0.0037996,0.0013587,-0.0059647,-0.0132,0.0040225,37.826,-101.2,39938,0.1267,-3.2014,-0.18883
409.24,4.0193,103.38,-0.0022322,-0.0040658,0.0014393,-0.0059445,-0.013425,0.0040303,37.826,-101.2,39937,0.1267,-3.2014,-0.18883
409.22,4.0528,103.46,-0.0023508,-0.0043365,0.0015199,-0.0059231,-0.01364,0.0040375,37.826,-101.2,39936,0.1267,-3.2014,-0.18883
409.19,4.0854,103.55,-0.0024691,-0.0046114,0.0016007,-0.0059006,-0.013846,0.004044,37.826,-101.2,39936,0.1267,-3.2014,-0.18883
409.17,4.1169,103.63,-0.0025869,-0.0048903,0.0016817,-0.0058769,-0.014043,0.0040497,37.826,-101.2,39935,0.1267,-3.2014,-0.18883
409.15,4.1475,103.7,-0.0027042,-0.0051731,0.0017627,-0.0058522,-0.014232,0.0040548,37.826,-101.2,39934,0.1267,-3.2014,-0.18883
409.13,4.1772,103.78,-0.0028209,-0.0054595,0.0018439,-0.0058265,-0.014411,0.0040593,37.826,-101.2,39933,0.1267,-3.2014,-0.18883
409.11,4.2058,103.85,-0.0029372,-0.0057494,0.0019251,-0.0057998,-0.014581,0.0040631,37.826,-101.2,39933,0.1267,-3.2014,-0.18883
409.1,4.2335,103.92,-0.0030529,-0.0060427,0.0020064,-0.0057721,-0.014741,0.0040663,37.826,-101.2,39932,0.1267,-3.2014,-0.18883
409.1,4.2335,103.92,-5.33E-05,-0.00010546,3.50E-05,-0.0068499,-0.012478,0.0043202,37.826,-101.2,39932,0.1267,-3.5456,-0.18883
409.07,4.2825,104.04,-0.00019015,-0.00035827,0.00012157,-0.006836,-0.012801,0.004335,37.826,-101.2,39931,0.1267,-3.5456,-0.18883
409.04,4.3304,104.15,-0.00032671,-0.00061742,0.00020841,-0.0068205,-0.013113,0.0043488,37.826,-101.2,39930,0.1267,-3.5456,-0.18883
409.01,4.3773,104.26,-0.00046295,-0.00088274,0.00029552,-0.0068033,-0.013416,0.0043618,37.826,-101.2,39930,0.1267,-3.5456,-0.18883
408.98,4.4231,104.37,-0.00059884,-0.001154,0.00038288,-0.0067846,-0.013709,0.004374,37.826,-101.2,39929,0.1267,-3.5456,-0.18883
408.95,4.4679,104.48,-0.00073433,-0.001431,0.00047047,-0.0067645,-0.013993,0.0043853,37.826,-101.2,39928,0.1267,-3.5456,-0.18883
408.92,4.5116,104.58,-0.00086941,-0.0017137,0.00055828,-0.0067429,-0.014266,0.0043958,37.826,-101.2,39928,0.1267,-3.5456,-0.18883
408.9,4.5543,104.68,-0.001004,-0.0020016,0.0006463,-0.00672,-0.014529,0.0044055,37.826,-101.2,39927,0.1267,-3.5456,-0.18883
408.87,4.5959,104.78,-0.0011382,-0.0022948,0.0007345,-0.0066957,-0.014782,0.0044145,37.826,-101.2,39926,0.1267,-3.5456,-0.18883
408.85,4.6365,104.87,-0.0012719,-0.0025928,0.00082287,-0.0066702,-0.015025,0.0044227,37.826,-101.2,39925,0.1267,-3.5456,-0.18883
408.82,4.676,104.97,-0.001405,-0.0028957,0.0009114,-0.0066435,-0.015258,0.0044302,37.826,-101.2,39925,0.1267,-3.5456,-0.18883
408.8,4.7145,105.06,-0.0015376,-0.0032031,0.0010001,-0.0066157,-0.015481,0.004437,37.826,-101.2,39924,0.1267,-3.5456,-0.18883
408.77,4.7519,105.14,-0.0016696,-0.0035149,0.0010889,-0.0065868,-0.015693,0.0044431,37.826,-101.2,39923,0.1267,-3.5456,-0.18883
408.75,4.7883,105.23,-0.0018011,-0.0038308,0.0011778,-0.0065568,-0.015895,0.0044485,37.826,-101.2,39922,0.1267,-3.5456,-0.18883
408.73,4.8236,105.31,-0.0019319,-0.0041506,0.0012668,-0.0065258,-0.016087,0.0044533,37.826,-101.2,39922,0.1267,-3.5456,-0.18883
408.71,4.8578,105.39,-0.0020621,-0.0044742,0.0013559,-0.0064939,-0.016269,0.0044574,37.826,-101.2,39921,0.1267,-3.5456,-0.18883
408.69,4.891,105.47,-0.0021916,-0.0048013,0.0014451,-0.0064611,-0.01644,0.0044609,37.826,-101.2,39920,0.1267,-3.5456,-0.18883
408.67,4.9231,105.54,-0.0023205,-0.0051317,0.0015344,-0.0064274,-0.016601,0.0044638,37.826,-101.2,39919,0.1267,-3.5456,-0.18883
408.65,4.9542,105.61,-0.0024487,-0.0054653,0.0016237,-0.006393,-0.016752,0.0044661,37.826,-101.2,39919,0.1267,-3.5456,-0.18883
408.63,4.9842,105.68,-0.0025762,-0.0058017,0.001713,-0.0063577,-0.016892,0.0044678,37.826,-101.2,39918,0.1267,-3.5456,-0.18883
408.61,5.0132,105.75,-0.002703,-0.0061409,0.0018024,-0.0063218,-0.017023,0.004469,37.826,-101.2,39917,0.1267,-3.5456,-0.18883
408.59,5.0411,105.81,-0.0028291,-0.0064825,0.0018917,-0.0062851,-0.017143,0.0044696,37.826,-101.2,39916,0.1267,-3.5456,-0.18883
408.58,5.0679,105.87,-0.0029544,-0.0068265,0.0019811,-0.0062479,-0.017253,0.0044697,37.826,-101.2,39916,0.1267,-3.5456,-0.18883
408.56,5.0937,105.93,-0.003079,-0.0071726,0.0020705,-0.00621,-0.017353,0.0044692,37.826,-101.2,39915,0.1267,-3.5456,-0.18883
408.55,5.1185,105.98,-0.0032028,-0.0075206,0.0021599,-0.0061716,-0.017443,0.0044683,37.826,-101.2,39914,0.1267,-3.5456,-0.18883
408.54,5.1422,106.03,-0.0033259,-0.0078703,0.0022493,-0.0061326,-0.017523,0.0044669,37.826,-101.2,39913,0.1267,-3.5456,-0.18883
408.54,5.1422,106.03,-5.80E-05,-0.00013736,3.93E-05,-0.0073731,-0.015466,0.0047519,37.826,-101.2,39913,0.1267,-3.921,-0.18883
408.51,5.1896,106.14,-0.0002052,-0.00044957,0.00013438,-0.0073417,-0.015753,0.0047603,37.826,-101.2,39912,0.1267,-3.921,-0.18883
408.48,5.236,106.25,-0.00035171,-0.00076741,0.00022966,-0.007309,-0.016029,0.0047679,37.826,-101.2,39912,0.1267,-3.921,-0.18883
408.45,5.2812,106.35,-0.00049755,-0.0010906,0.00032509,-0.0072751,-0.016293,0.0047747,37.826,-101.2,39911,0.1267,-3.921,-0.18883
408.42,5.3252,106.45,-0.00064271,-0.0014191,0.00042065,-0.0072401,-0.016547,0.0047809,37.826,-101.2,39910,0.1267,-3.921,-0.18883
408.4,5.3682,106.55,-0.00078715,-0.0017524,0.00051632,-0.007204,-0.016789,0.0047863,37.826,-101.2,39909,0.1267,-3.921,-0.18883
408.37,5.41,106.65,-0.00093086,-0.0020905,0.00061209,-0.0071668,-0.01702,0.0047911,37.826,-101.2,39908,0.1267,-3.921,-0.18883
408.35,5.4506,106.74,-0.0010738,-0.0024331,0.00070796,-0.0071287,-0.01724,0.0047952,37.826,-101.2,39908,0.1267,-3.921,-0.18883
408.32,5.4902,106.83,-0.001216,-0.00278,0.0008039,-0.0070897,-0.017448,0.0047987,37.826,-101.2,39907,0.1267,-3.921,-0.18883
408.3,5.5286,106.92,-0.0013574,-0.003131,0.0008999,-0.0070498,-0.017645,0.0048015,37.826,-101.2,39906,0.1267,-3.921,-0.18883
408.28,5.5658,107,-0.001498,-0.0034858,0.00099595,-0.0070092,-0.017831,0.0048038,37.826,-101.2,39905,0.1267,-3.921,-0.18883
408.25,5.6019,107.08,-0.0016378,-0.0038442,0.001092,-0.0069678,-0.018006,0.0048055,37.826,-101.2,39904,0.1267,-3.921,-0.18883
408.23,5.6369,107.16,-0.0017767,-0.0042059,0.0011882,-0.0069257,-0.018169,0.0048067,37.826,-101.2,39904,0.1267,-3.921,-0.18883
408.21,5.6708,107.23,-0.0019148,-0.0045709,0.0012843,-0.006883,-0.018322,0.0048073,37.826,-101.2,39903,0.1267,-3.921,-0.18883
408.19,5.7035,107.3,-0.002052,-0.0049387,0.0013805,-0.0068397,-0.018462,0.0048074,37.826,-101.2,39902,0.1267,-3.921,-0.18883
