iter	Accuracy	Logloss
165	0.9379844961	0.1857011135
166	0.9379844961	0.1853447024
167	0.9377076412	0.1847597386
168	0.9379844961	0.1841620081
169	0.9382613511	0.1838707468
170	0.9382613511	0.1833672677
171	0.9377076412	0.1824600468
172	0.9374307863	0.182037227
173	0.9374307863	0.1816535456
174	0.9377076412	0.1811386671
175	0.9374307863	0.1805580175
176	0.9379844961	0.1800492579
177	0.9388150609	0.1791957302
178	0.938538206	0.1788026205
179	0.9399224806	0.1785071993
180	0.9396456257	0.1778096384
181	0.9413067553	0.1771451966
182	0.9418604651	0.17665147
183	0.94213732	0.1764109257
184	0.9432447398	0.1758053928
185	0.9437984496	0.1753624042
186	0.9437984496	0.1749023975
187	0.9435215947	0.1743505585
188	0.9437984496	0.1741082326
189	0.9440753045	0.173169822
190	0.9437984496	0.1728328691
191	0.9440753045	0.1722576403
192	0.9443521595	0.1713258306
193	0.9451827243	0.1703474026
194	0.9451827243	0.1698411798
195	0.9454595792	0.1695144976
196	0.946013289	0.1684896608
197	0.9468438538	0.1680301227
198	0.9471207087	0.1677007464
199	0.9471207087	0.1675318338
200	0.9468438538	0.1669892075
201	0.9479512735	0.1667486466
202	0.9476744186	0.1664338351
203	0.9482281285	0.1661008435
204	0.9479512735	0.165787721
205	0.9487818383	0.1656494119
206	0.9490586932	0.1651338469
207	0.9493355482	0.1645059187
208	0.9496124031	0.1643036274
209	0.949889258	0.1637954214
210	0.9507198228	0.1629050215
211	0.9504429679	0.1624605379
212	0.9504429679	0.1620512599
213	0.9507198228	0.161353091
214	0.9512735327	0.1609805041
215	0.9512735327	0.1606878965
216	0.9512735327	0.1602674955
217	0.9515503876	0.1598274846
218	0.9515503876	0.1594155577
219	0.9512735327	0.1591470795
220	0.9518272425	0.1585643731
221	0.9521040975	0.1575531766
222	0.9529346622	0.156981984
223	0.9529346622	0.1566763479
224	0.9534883721	0.1560583345
225	0.9534883721	0.15564536
226	0.953765227	0.1550036207
227	0.9540420819	0.1543439777
228	0.9543189369	0.1537856473
229	0.9543189369	0.1535841756
230	0.9548726467	0.1530635964
231	0.9557032115	0.1522367474
232	0.9565337763	0.1513482109
233	0.9568106312	0.151081588
234	0.9570874862	0.1509143707
235	0.9568106312	0.1507513536
236	0.9573643411	0.1502609269
237	0.957641196	0.1499736141
238	0.9584717608	0.1495414884
239	0.9584717608	0.1488652972
240	0.9587486157	0.1484763446
241	0.9590254707	0.1481380334
242	0.9587486157	0.1476470162
243	0.9590254707	0.1474035639
244	0.9595791805	0.1469977525
245	0.9593023256	0.1466825057
246	0.9593023256	0.146350468
247	0.9598560354	0.1460410851
248	0.9595791805	0.1457097072
249	0.9598560354	0.1453053711
250	0.9606866002	0.1449160355
251	0.9609634551	0.1443805877
252	0.9612403101	0.1439912453
253	0.9612403101	0.1433747264
254	0.961517165	0.1431302433
255	0.9617940199	0.1429455428
256	0.9623477298	0.1426569461
257	0.9634551495	0.1421447003
258	0.9640088594	0.1417702779
259	0.9645625692	0.1416557665
260	0.9642857143	0.1413489956
261	0.9642857143	0.1407139779
262	0.9642857143	0.1403371079
263	0.9648394241	0.1400426745
264	0.9651162791	0.1397089903
265	0.9648394241	0.1391802096
266	0.9651162791	0.13864481
267	0.965393134	0.138538204
268	0.9651162791	0.1380426951
269	0.965393134	0.1377020603
270	0.965393134	0.1372957811
271	0.9665005537	0.1367139864
272	0.9665005537	0.1364216017
273	0.9667774086	0.1356430263
274	0.9662236988	0.1352346228
275	0.9665005537	0.1350643874
276	0.9670542636	0.1348042457
277	0.9676079734	0.1343105881
278	0.9678848283	0.1338035974
279	0.9676079734	0.1333878104
280	0.9676079734	0.1328335518
281	0.9678848283	0.1323606709
282	0.9689922481	0.1319649218
283	0.969269103	0.1316594671
284	0.969269103	0.1313800406
285	0.9698228128	0.1309639089
286	0.9698228128	0.13031491
287	0.9700996678	0.1299179615
288	0.9700996678	0.1293143537
289	0.9703765227	0.1288598319
290	0.9703765227	0.1285807654
291	0.9706533776	0.1282261615
292	0.9706533776	0.1280570381
293	0.9712070875	0.1278680247
294	0.9712070875	0.1275277643
295	0.9714839424	0.1269795702
296	0.9720376523	0.1266401553
297	0.9717607973	0.1262067665
298	0.9723145072	0.1258386805
299	0.9720376523	0.1252661057
300	0.9728682171	0.1249856655
301	0.9734219269	0.1245907485
302	0.9734219269	0.1243219369
303	0.9739756368	0.1240122259
304	0.9742524917	0.1233539939
305	0.9748062016	0.1230570963
306	0.9742524917	0.1226712872
307	0.9745293466	0.1221281432
308	0.9745293466	0.1217118676
309	0.9748062016	0.1214687436
310	0.9750830565	0.1211335118
311	0.9748062016	0.1209983703
312	0.9750830565	0.1206950869
313	0.9753599114	0.1202893013
314	0.9753599114	0.1201455573
315	0.9759136213	0.1196991472
316	0.9759136213	0.1194683537
317	0.9759136213	0.1187391156
318	0.9759136213	0.1183427695
319	0.9759136213	0.1181258965
320	0.9759136213	0.1178037537
321	0.9759136213	0.1175785621
322	0.9764673311	0.1174598349
323	0.977021041	0.1170853673
324	0.976744186	0.1164436921
325	0.976744186	0.1164117482
326	0.976744186	0.1163166531
327	0.977021041	0.116141755
328	0.977021041	0.1160523347
329	0.9772978959	0.1156541354
330	0.9781284607	0.1151628455
331	0.9781284607	0.1149963763
332	0.9784053156	0.1146592807
333	0.9781284607	0.1144681982
334	0.9781284607	0.1141606911
335	0.9784053156	0.1136531999
336	0.9784053156	0.1134817103
337	0.9781284607	0.1131719716
338	0.9784053156	0.1128364755
339	0.9778516058	0.1124198406
340	0.9778516058	0.1120617356
341	0.9778516058	0.1116524114
342	0.9781284607	0.1113398396
343	0.9789590255	0.1111290436
344	0.9789590255	0.110961126
345	0.9795127353	0.1105774411
346	0.9797895903	0.1102875167
347	0.9800664452	0.1100773932
348	0.9803433001	0.1098792098
349	0.9797895903	0.1095065377
350	0.9797895903	0.1092574692
351	0.9797895903	0.1090252027
352	0.980620155	0.1084654486
353	0.980620155	0.1083157783
354	0.98089701	0.1080330427
355	0.9817275748	0.1076013689
356	0.9817275748	0.1074703459
357	0.9820044297	0.1071813716
358	0.9820044297	0.107099388
359	0.9822812846	0.106813791
360	0.9825581395	0.1064820746
361	0.9825581395	0.106189428
362	0.9828349945	0.1058174013
363	0.9822812846	0.1055062915
364	0.9825581395	0.1051117282
365	0.9833887043	0.1046402631
366	0.9839424142	0.1043922566
367	0.9839424142	0.1042580596
368	0.9842192691	0.103980176
369	0.9842192691	0.103833542
370	0.9842192691	0.103697268
371	0.984496124	0.1031591579
372	0.9853266888	0.1027593717
373	0.9853266888	0.1025540513
374	0.9853266888	0.1022589517
375	0.9853266888	0.1021987085
376	0.9853266888	0.1020030233
377	0.9853266888	0.1017611569
378	0.9850498339	0.1014799182
379	0.9853266888	0.1014196238
380	0.9850498339	0.1011594025
381	0.9861572536	0.1009821891
382	0.9858803987	0.1007467286
383	0.9858803987	0.1006220788
384	0.9864341085	0.1002285833
385	0.9864341085	0.1001390785
386	0.9864341085	0.09997970147
387	0.9861572536	0.09982845831
388	0.9864341085	0.0995595709
389	0.9861572536	0.09927139295
390	0.9864341085	0.0991855551
391	0.9864341085	0.09898885235
392	0.9864341085	0.09894121573
393	0.9864341085	0.09877219687
394	0.9867109635	0.0987252072
395	0.9867109635	0.09841624517
396	0.9867109635	0.09836878518
397	0.9867109635	0.09819653867
398	0.9872646733	0.09786395946
399	0.9875415282	0.09762426818
400	0.9875415282	0.09749814511
401	0.9878183832	0.0972075965
402	0.9878183832	0.09703409618
403	0.9878183832	0.09679626568
404	0.9878183832	0.09662409122
405	0.9878183832	0.09649527319
406	0.9878183832	0.09641760112
407	0.9878183832	0.09626240199
408	0.9878183832	0.095973146
409	0.9880952381	0.09579278515
410	0.9875415282	0.09562750213
411	0.9878183832	0.09543365442
412	0.988372093	0.09524229164
413	0.988372093	0.09501161659
414	0.9889258029	0.09463209653
415	0.9889258029	0.09423025569
416	0.9889258029	0.09373937983
417	0.9889258029	0.09351860986
418	0.9892026578	0.09330293165
419	0.9892026578	0.09300620787
420	0.9892026578	0.09296500958
421	0.9892026578	0.09270757247
422	0.9892026578	0.09255023499
423	0.9892026578	0.09236976102
424	0.9892026578	0.09229604632
425	0.9892026578	0.09202731458
426	0.9892026578	0.09184632334
427	0.9892026578	0.09164226448
428	0.9900332226	0.09152524261
429	0.9900332226	0.09132412631
430	0.9900332226	0.09119126609
431	0.9900332226	0.09098051141
432	0.9900332226	0.09084567246
433	0.9897563677	0.09061812044
434	0.9897563677	0.09010702677
435	0.9897563677	0.08982023136
436	0.9897563677	0.08972091944
437	0.9897563677	0.08945043926
438	0.9897563677	0.08925591098
439	0.9897563677	0.08920396266
440	0.9897563677	0.08901871322
441	0.9897563677	0.08881777697
442	0.9897563677	0.08851379357
443	0.9897563677	0.08846419794
444	0.9900332226	0.08820177862
445	0.9900332226	0.08802722452
446	0.9900332226	0.08774384594
447	0.9900332226	0.08738978774
448	0.9900332226	0.08720343811
449	0.9903100775	0.0869129845
450	0.9903100775	0.0866611377
451	0.9908637874	0.08614000463
452	0.9911406423	0.08588107086
453	0.9914174972	0.0855883487
454	0.9914174972	0.08540454714
455	0.9916943522	0.08528208057
456	0.9916943522	0.08522366589
457	0.9911406423	0.08500455415
458	0.9914174972	0.08474457367
459	0.9919712071	0.0844830794
460	0.9916943522	0.08428569457
461	0.9916943522	0.08423127371
462	0.9916943522	0.08410998053
463	0.9916943522	0.08395882005
464	0.9916943522	0.08389887754
465	0.9916943522	0.08376366241
466	0.992248062	0.08368931037
467	0.9919712071	0.08349290036
468	0.9916943522	0.08310961798
469	0.992248062	0.08296332672
470	0.992248062	0.08290522567
471	0.992248062	0.0828226929
472	0.992248062	0.0826261607
473	0.9919712071	0.08250342697
474	0.9919712071	0.08222268392
475	0.9919712071	0.08188355942
476	0.9919712071	0.08170128959
477	0.9919712071	0.08147650396
478	0.9919712071	0.08133686812
479	0.992248062	0.08115484473
480	0.992248062	0.08102191547
481	0.992248062	0.08094515563
482	0.992248062	0.08061018497
483	0.9925249169	0.08035713543
484	0.9925249169	0.0800797747
485	0.9925249169	0.07999030466
486	0.9925249169	0.07989911206
487	0.9925249169	0.07969445781
488	0.9930786268	0.07943724155
489	0.9930786268	0.07913835696
490	0.9930786268	0.07905112355
491	0.9930786268	0.07898257121
492	0.9930786268	0.07883953749
493	0.9933554817	0.07867027653
494	0.9933554817	0.07851441392
495	0.9933554817	0.07836228169
496	0.9930786268	0.07825194273
497	0.9933554817	0.07817577561
498	0.9928017719	0.07802087892
499	0.9928017719	0.07786167972
500	0.9928017719	0.07768066881
501	0.9933554817	0.07751392267
502	0.9936323367	0.07732651651
503	0.9936323367	0.07711499962
504	0.9939091916	0.07693721784
505	0.9939091916	0.07678081917
506	0.9939091916	0.07664023445
507	0.9939091916	0.07654861336
508	0.9939091916	0.07639974045
509	0.9941860465	0.07613066251
510	0.9941860465	0.07601951325
511	0.9944629014	0.07588027851
512	0.9944629014	0.07562326585
513	0.9944629014	0.07551754335
514	0.9944629014	0.0754784474
515	0.9944629014	0.07541780821
516	0.9944629014	0.07533410158
517	0.9944629014	0.07499083222
518	0.9944629014	0.07467523871
519	0.9944629014	0.07439831704
520	0.9944629014	0.07430422716
521	0.9944629014	0.07409248543
522	0.9947397564	0.07387160728
523	0.9947397564	0.07367686921
524	0.9947397564	0.07339973866
525	0.9950166113	0.07314506689
526	0.9950166113	0.07299986464
527	0.9950166113	0.07289691857
528	0.9950166113	0.07276355055
529	0.9950166113	0.0724689201
530	0.9952934662	0.07234454217
531	0.9955703212	0.07212554888
532	0.9950166113	0.07200850096
533	0.9952934662	0.07187853298
534	0.9952934662	0.07168148479
535	0.9955703212	0.07157387051
536	0.9955703212	0.07147700428
537	0.9955703212	0.07138057539
538	0.9955703212	0.07120507247
539	0.9955703212	0.07099098447
540	0.9955703212	0.0708255039
541	0.9955703212	0.07074548053
542	0.9955703212	0.07070895883
543	0.996124031	0.07057222845
544	0.9958471761	0.07034369585
545	0.996124031	0.07016632843
546	0.9958471761	0.07001147395
547	0.996124031	0.06971435928
548	0.9966777409	0.06955758944
549	0.9966777409	0.06942430964
550	0.9966777409	0.06923753505
551	0.9966777409	0.06910973341
552	0.9969545958	0.06895637252
553	0.9969545958	0.06870073492
554	0.9969545958	0.06862653527
555	0.9969545958	0.0684640384
556	0.9966777409	0.06823482415
557	0.9966777409	0.06806414174
558	0.9966777409	0.06798607205
559	0.9966777409	0.06791070562
560	0.9966777409	0.06779126119
561	0.9966777409	0.0676550092
562	0.9966777409	0.06756935039
563	0.9969545958	0.06733106941
564	0.9969545958	0.06715566102
565	0.9969545958	0.0670847338
566	0.9969545958	0.06689928462
567	0.9969545958	0.06675367487
568	0.9969545958	0.06654448751
569	0.9969545958	0.06635272555
570	0.9969545958	0.06624350006
571	0.9969545958	0.06609169099
572	0.9969545958	0.06594690422
573	0.9969545958	0.0658428614
574	0.9969545958	0.06563969204
575	0.9969545958	0.06541399082
576	0.9969545958	0.06528083316
577	0.9969545958	0.06516757619
578	0.9969545958	0.06506077433
579	0.9969545958	0.06489760821
580	0.9969545958	0.06487105722
581	0.9969545958	0.06465754876
582	0.9969545958	0.064467976
583	0.9969545958	0.06431110743
584	0.9969545958	0.06410456385
585	0.9969545958	0.06401784498
586	0.9969545958	0.06391103629
587	0.9969545958	0.06368892582
588	0.9969545958	0.06340287934
589	0.9969545958	0.06331167286
590	0.9969545958	0.06326705376
591	0.9969545958	0.06314421022
592	0.9969545958	0.06303352313
593	0.9969545958	0.0628939065
594	0.9969545958	0.06284008754
595	0.9969545958	0.06277919651
596	0.9969545958	0.06264246525
597	0.9969545958	0.0624631772
598	0.9969545958	0.06237665184
599	0.9969545958	0.0622741693
600	0.9969545958	0.06221635815
601	0.9969545958	0.06201375916
602	0.9969545958	0.06194790544
603	0.9969545958	0.06191304466
604	0.9969545958	0.06188223499
605	0.9969545958	0.06172899722
606	0.9969545958	0.0615301499
607	0.9969545958	0.06147261449
608	0.9969545958	0.06133752763
609	0.9969545958	0.06118360114
610	0.9969545958	0.06106893377
611	0.9969545958	0.06099973051
612	0.9969545958	0.06091109179
613	0.9969545958	0.06082922317
614	0.9969545958	0.06069623211
615	0.9969545958	0.06053401628
616	0.9969545958	0.06046117244
617	0.9969545958	0.0603592383
618	0.9969545958	0.06024793935
619	0.9969545958	0.06013778141
620	0.9969545958	0.05999806462
621	0.9972314507	0.05984518509
622	0.9972314507	0.05972225608
623	0.9972314507	0.05960966992
624	0.9972314507	0.05958003875
625	0.9969545958	0.05941877607
626	0.9969545958	0.05935990769
627	0.9972314507	0.0591925994
628	0.9972314507	0.05900319881
629	0.9972314507	0.05887080611
630	0.9972314507	0.05878916723
631	0.9972314507	0.05864436484
632	0.9975083056	0.05845087052
633	0.9975083056	0.05836860003
634	0.9975083056	0.0582982
635	0.9975083056	0.05821410753
636	0.9975083056	0.05813272469
637	0.9975083056	0.05808088309
638	0.9977851606	0.05791288484
639	0.9977851606	0.05781346846
640	0.9977851606	0.05772418543
641	0.9977851606	0.05759158991
642	0.9977851606	0.05747152268
643	0.9980620155	0.05743362422
644	0.9980620155	0.05730587278
645	0.9980620155	0.0570998799
646	0.9980620155	0.0569205989
647	0.9980620155	0.05688637336
648	0.9980620155	0.05684554234
649	0.9980620155	0.05671829362
650	0.9980620155	0.05657395146
651	0.9980620155	0.0564989013
652	0.9980620155	0.05634995599
653	0.9980620155	0.05628411824
654	0.9980620155	0.05617199836
655	0.9980620155	0.05609198207
656	0.9980620155	0.05598364683
657	0.9980620155	0.05582124978
658	0.9980620155	0.05573522681
659	0.9980620155	0.05564909515
660	0.9980620155	0.05553812421
661	0.9980620155	0.05548334766
662	0.9980620155	0.05544009365
663	0.9980620155	0.05528820952
664	0.9980620155	0.05520479062
665	0.9980620155	0.05505103949
666	0.9980620155	0.05494150551
667	0.9980620155	0.05489948515
668	0.9980620155	0.05480061482
669	0.9980620155	0.05458934471
670	0.9980620155	0.05450932264
671	0.9980620155	0.05439732781
672	0.9980620155	0.05431045396
673	0.9980620155	0.05421153239
674	0.9980620155	0.0541214504
675	0.9980620155	0.05400681469
676	0.9980620155	0.05394764861
677	0.9980620155	0.05389396332
678	0.9980620155	0.0537864053
679	0.9980620155	0.0537092652
680	0.9980620155	0.05359717173
681	0.9980620155	0.05347399235
682	0.9980620155	0.05330478032
683	0.9980620155	0.0531370034
684	0.9980620155	0.05300050577
685	0.9980620155	0.05292081542
686	0.9980620155	0.05277776376
687	0.9980620155	0.05267881463
688	0.9980620155	0.05252302685
689	0.9980620155	0.05248534224
690	0.9980620155	0.05240554942
691	0.9980620155	0.05227109793
692	0.9983388704	0.0520873702
693	0.9980620155	0.05199359845
694	0.9980620155	0.05196136352
695	0.9980620155	0.05186761676
696	0.9983388704	0.05177836091
697	0.9980620155	0.05170274337
698	0.9980620155	0.05165264201
699	0.9980620155	0.0515895233
700	0.9980620155	0.05144095005
701	0.9983388704	0.05137091297
702	0.9983388704	0.0512623844
703	0.9983388704	0.05122657363
704	0.9983388704	0.05115613415
705	0.9983388704	0.05104641633
706	0.9983388704	0.05099634756
707	0.9986157254	0.05096403821
708	0.9986157254	0.0509147301
709	0.9986157254	0.05088764625
710	0.9986157254	0.05071664268
711	0.9986157254	0.05061578145
712	0.9986157254	0.05055449272
713	0.9988925803	0.0503815472
714	0.9988925803	0.05022093003
715	0.9991694352	0.05014874228
716	0.9991694352	0.05011774002
717	0.9991694352	0.05003802636
718	0.9988925803	0.04989942376
719	0.9988925803	0.04980237844
720	0.9991694352	0.04971082305
721	0.9988925803	0.04965281384
722	0.9988925803	0.04954687664
723	0.9991694352	0.04949262032
724	0.9994462901	0.04936150376
725	0.9994462901	0.04928806555
726	0.9991694352	0.04915347239
727	0.9991694352	0.04906280359
728	0.9991694352	0.04898982575
729	0.9991694352	0.04889492502
730	0.9991694352	0.04880412273
731	0.9991694352	0.04877071432
732	0.9991694352	0.04869820537
733	0.9991694352	0.04864424815
734	0.9991694352	0.04853647722
735	0.9991694352	0.04848829802
736	0.9991694352	0.04838591174
737	0.9991694352	0.04835479667
738	0.9994462901	0.04829194538
739	0.9994462901	0.04822859128
740	0.9994462901	0.04813625471
741	0.9994462901	0.04802516047
742	0.9994462901	0.04800664949
743	0.9994462901	0.04795735552
744	0.9994462901	0.04791184935
745	0.9994462901	0.04789632884
746	0.9994462901	0.04785669308
747	0.9994462901	0.04768405326
748	0.9994462901	0.04756534436
749	0.9991694352	0.04750862524
750	0.9994462901	0.04744273572
751	0.9991694352	0.04735764064
752	0.9991694352	0.04733147744
753	0.9994462901	0.04729242768
754	0.9994462901	0.04724064728
755	0.9991694352	0.04718090128
756	0.9994462901	0.04713164293
757	0.9994462901	0.04708590475
758	0.9994462901	0.04698711106
759	0.9994462901	0.04689504221
760	0.9994462901	0.04676853454
761	0.9994462901	0.04671269872
762	0.9994462901	0.04663653604
763	0.9994462901	0.04660791768
764	0.9994462901	0.0465236967
765	0.9994462901	0.04647803796
766	0.9994462901	0.04640871726
767	0.9994462901	0.04637704933
768	0.9994462901	0.04630527056
769	0.9994462901	0.04619894311
770	0.9994462901	0.04617121286
771	0.9994462901	0.04610222215
772	0.9994462901	0.04600035303
773	0.9994462901	0.04595800326
774	0.9994462901	0.04587940606
775	0.9994462901	0.04576107696
776	0.9994462901	0.04566702623
777	0.9994462901	0.04553674399
778	0.9994462901	0.04544863289
779	0.9994462901	0.04538421819
780	0.9994462901	0.04533099085
781	0.9994462901	0.0451533366
782	0.9994462901	0.04505458279
783	0.9994462901	0.04502154372
784	0.9994462901	0.04499201237
785	0.9994462901	0.0449506591
786	0.9994462901	0.04487178115
787	0.9994462901	0.04481139601
788	0.9994462901	0.04468220834
789	0.9994462901	0.04460045114
790	0.9994462901	0.04457959745
791	0.9994462901	0.04452806836
792	0.9994462901	0.04448198655
793	0.9994462901	0.0443336541
794	0.9994462901	0.04424275594
795	0.9994462901	0.04414010447
796	0.9994462901	0.0441088474
797	0.9994462901	0.04405648833
798	0.9994462901	0.04396961843
799	0.9994462901	0.04393805004
800	0.9994462901	0.04391750804
801	0.9994462901	0.04387418701
802	0.9994462901	0.04375006777
803	0.9994462901	0.04363792807
804	0.9994462901	0.0435877603
805	0.9994462901	0.04352934329
806	0.9994462901	0.043413475
807	0.9994462901	0.0433987783
808	0.9994462901	0.04334555601
809	0.9994462901	0.04327727428
810	0.9994462901	0.04318670044
811	0.9994462901	0.04311016511
812	0.9994462901	0.04307718401
813	0.9994462901	0.04306033178
814	0.9994462901	0.04297252838
815	0.9994462901	0.04291069947
816	0.9994462901	0.04286293148
817	0.9994462901	0.04280513933
818	0.9994462901	0.0426954314
819	0.9994462901	0.04261149591
820	0.9994462901	0.04253649175
821	0.9994462901	0.04251255725
822	0.9994462901	0.04246420694
823	0.9994462901	0.0423777208
824	0.9994462901	0.042307852
825	0.9994462901	0.04224371198
826	0.9997231451	0.04215012509
827	0.9997231451	0.04207700469
828	0.9997231451	0.04203735946
829	0.9994462901	0.04193002976
830	0.9994462901	0.04187184669
831	0.9994462901	0.0417772916
832	0.9994462901	0.04169659944
833	0.9994462901	0.04163443485
834	0.9994462901	0.04155070364
835	0.9997231451	0.04147292995
836	0.9997231451	0.04139005315
837	0.9997231451	0.04132169288
838	0.9997231451	0.04123505136
839	0.9997231451	0.04120315026
840	0.9997231451	0.04112839288
841	0.9997231451	0.04103878893
842	0.9997231451	0.04101406464
843	0.9997231451	0.04094258843
844	0.9997231451	0.0408720027
845	0.9997231451	0.04081862969
846	0.9997231451	0.04075799202
847	0.9997231451	0.04065770396
848	0.9997231451	0.04060327496
849	0.9997231451	0.04053124629
850	0.9997231451	0.04052209201
851	0.9997231451	0.04050976494
852	0.9997231451	0.04045961647
853	0.9997231451	0.0403488528
854	0.9997231451	0.04031808828
855	0.9997231451	0.04027049425
856	0.9997231451	0.04024273219
857	0.9997231451	0.04009287658
858	0.9997231451	0.04004176653
859	0.9997231451	0.04002288693
860	0.9997231451	0.04000548545
861	0.9997231451	0.03992976591
862	0.9997231451	0.03984210488
863	0.9997231451	0.03982542775
864	0.9997231451	0.03977139972
865	0.9997231451	0.03968235799
866	0.9997231451	0.03961195205
867	0.9997231451	0.03957617428
868	0.9997231451	0.03952669054
869	0.9997231451	0.03947515518
870	0.9997231451	0.03937163543
871	0.9997231451	0.03930029611
872	0.9997231451	0.03924407553
873	0.9997231451	0.03922991316
874	0.9997231451	0.03916961982
875	0.9997231451	0.03915318556
876	0.9997231451	0.03904348448
877	0.9997231451	0.03901325558
878	0.9997231451	0.03899781082
